perfil_id,Student_ID,Major_Category,Year_of_Study,Year_Encoded,Prompt_Engineering_Skill,Prompt_Skill_Encoded
109020,109020,Business,Sophomore,2,Beginner,1
109021,109021,STEM,Sophomore,2,Intermediate,2
109022,109022,Medical,Freshman,1,Beginner,1
109023,109023,Humanities,Sophomore,2,Advanced,3
109024,109024,Humanities,Graduate,5,Advanced,3
109025,109025,Business,Junior,3,Intermediate,2
109026,109026,Humanities,Sophomore,2,Intermediate,2
109027,109027,Business,Graduate,5,Beginner,1
109028,109028,STEM,Senior,4,Intermediate,2
109029,109029,Medical,Sophomore,2,Intermediate,2
109030,109030,Humanities,Senior,4,Beginner,1
109031,109031,Humanities,Junior,3,Advanced,3
109032,109032,Business,Senior,4,Advanced,3
109033,109033,Humanities,Sophomore,2,Beginner,1
109034,109034,Arts,Freshman,1,Advanced,3
109035,109035,Humanities,Sophomore,2,Intermediate,2
109036,109036,Business,Freshman,1,Beginner,1
109037,109037,STEM,Junior,3,Advanced,3
109038,109038,Arts,Sophomore,2,Beginner,1
109039,109039,Business,Freshman,1,Beginner,1
109040,109040,STEM,Graduate,5,Advanced,3
109041,109041,STEM,Senior,4,Intermediate,2
109042,109042,Humanities,Junior,3,Beginner,1
109043,109043,Medical,Graduate,5,Advanced,3
109044,109044,STEM,Graduate,5,Beginner,1
109045,109045,Humanities,Freshman,1,Advanced,3
109046,109046,STEM,Junior,3,Intermediate,2
109047,109047,Humanities,Senior,4,Advanced,3
109048,109048,Business,Freshman,1,Beginner,1
109049,109049,Medical,Freshman,1,Advanced,3
109050,109050,Business,Sophomore,2,Advanced,3
109051,109051,Arts,Sophomore,2,Beginner,1
109052,109052,Business,Graduate,5,Beginner,1
109053,109053,STEM,Senior,4,Advanced,3
109054,109054,Humanities,Freshman,1,Intermediate,2
109055,109055,Business,Senior,4,Intermediate,2
109056,109056,Medical,Freshman,1,Beginner,1
109057,109057,Arts,Sophomore,2,Intermediate,2
109058,109058,STEM,Sophomore,2,Intermediate,2
109059,109059,STEM,Sophomore,2,Intermediate,2
109060,109060,STEM,Sophomore,2,Beginner,1
109061,109061,Medical,Senior,4,Beginner,1
109062,109062,Arts,Sophomore,2,Advanced,3
109063,109063,Arts,Senior,4,Intermediate,2
109064,109064,Humanities,Freshman,1,Intermediate,2
109065,109065,Business,Junior,3,Advanced,3
109066,109066,Humanities,Graduate,5,Advanced,3
109067,109067,STEM,Freshman,1,Beginner,1
109068,109068,Business,Junior,3,Advanced,3
109069,109069,STEM,Junior,3,Advanced,3
109070,109070,STEM,Sophomore,2,Advanced,3
109071,109071,Medical,Freshman,1,Beginner,1
109072,109072,Arts,Senior,4,Advanced,3
109073,109073,Humanities,Sophomore,2,Intermediate,2
109074,109074,Business,Sophomore,2,Beginner,1
109075,109075,Humanities,Senior,4,Intermediate,2
109076,109076,Business,Graduate,5,Intermediate,2
109077,109077,Arts,Sophomore,2,Intermediate,2
109078,109078,Arts,Senior,4,Intermediate,2
109079,109079,Business,Graduate,5,Beginner,1
109080,109080,STEM,Freshman,1,Intermediate,2
109081,109081,Humanities,Junior,3,Beginner,1
109082,109082,Humanities,Freshman,1,Advanced,3
109083,109083,Humanities,Senior,4,Intermediate,2
109084,109084,Arts,Sophomore,2,Advanced,3
109085,109085,Humanities,Sophomore,2,Beginner,1
109086,109086,STEM,Senior,4,Intermediate,2
109087,109087,Humanities,Senior,4,Advanced,3
109088,109088,Medical,Sophomore,2,Advanced,3
109089,109089,STEM,Senior,4,Advanced,3
109090,109090,Business,Graduate,5,Intermediate,2
109091,109091,Humanities,Graduate,5,Beginner,1
109092,109092,STEM,Senior,4,Advanced,3
109093,109093,Humanities,Graduate,5,Advanced,3
109094,109094,Business,Graduate,5,Beginner,1
109095,109095,Business,Senior,4,Intermediate,2
109096,109096,Medical,Graduate,5,Beginner,1
109097,109097,STEM,Senior,4,Intermediate,2
109098,109098,STEM,Junior,3,Intermediate,2
109099,109099,Medical,Junior,3,Beginner,1
109100,109100,Humanities,Freshman,1,Beginner,1
109101,109101,Business,Freshman,1,Beginner,1
109102,109102,Arts,Senior,4,Beginner,1
109103,109103,Humanities,Junior,3,Beginner,1
109104,109104,Business,Senior,4,Beginner,1
109105,109105,STEM,Graduate,5,Intermediate,2
109106,109106,STEM,Junior,3,Beginner,1
109107,109107,STEM,Freshman,1,Intermediate,2
109108,109108,Arts,Junior,3,Intermediate,2
109109,109109,STEM,Freshman,1,Intermediate,2
109110,109110,Business,Junior,3,Intermediate,2
109111,109111,Medical,Junior,3,Beginner,1
109112,109112,Business,Senior,4,Beginner,1
109113,109113,Business,Sophomore,2,Beginner,1
109114,109114,Humanities,Freshman,1,Intermediate,2
109115,109115,Humanities,Sophomore,2,Beginner,1
109116,109116,Humanities,Senior,4,Beginner,1
109117,109117,Business,Junior,3,Advanced,3
109118,109118,Medical,Junior,3,Intermediate,2
109119,109119,Medical,Sophomore,2,Advanced,3
109120,109120,Arts,Senior,4,Beginner,1
109121,109121,Medical,Graduate,5,Intermediate,2
109122,109122,Humanities,Sophomore,2,Advanced,3
109123,109123,Business,Senior,4,Beginner,1
109124,109124,Medical,Freshman,1,Advanced,3
109125,109125,Humanities,Senior,4,Beginner,1
109126,109126,Medical,Junior,3,Intermediate,2
109127,109127,Humanities,Junior,3,Intermediate,2
109128,109128,Business,Sophomore,2,Beginner,1
109129,109129,Business,Graduate,5,Advanced,3
109130,109130,Medical,Freshman,1,Beginner,1
109131,109131,STEM,Graduate,5,Advanced,3
109132,109132,Business,Freshman,1,Intermediate,2
109133,109133,Business,Sophomore,2,Intermediate,2
109134,109134,STEM,Junior,3,Intermediate,2
109135,109135,Arts,Graduate,5,Beginner,1
109136,109136,Business,Junior,3,Advanced,3
109137,109137,Business,Freshman,1,Advanced,3
109138,109138,Humanities,Graduate,5,Beginner,1
109139,109139,Humanities,Junior,3,Beginner,1
109140,109140,Business,Sophomore,2,Intermediate,2
109141,109141,Humanities,Junior,3,Intermediate,2
109142,109142,STEM,Senior,4,Advanced,3
109143,109143,Medical,Senior,4,Intermediate,2
109144,109144,Business,Senior,4,Advanced,3
109145,109145,Business,Graduate,5,Advanced,3
109146,109146,Humanities,Senior,4,Advanced,3
109147,109147,Humanities,Junior,3,Beginner,1
109148,109148,Humanities,Freshman,1,Beginner,1
109149,109149,Humanities,Senior,4,Intermediate,2
109150,109150,Business,Graduate,5,Intermediate,2
109151,109151,Business,Sophomore,2,Intermediate,2
109152,109152,Humanities,Junior,3,Advanced,3
109153,109153,STEM,Senior,4,Intermediate,2
109154,109154,Humanities,Junior,3,Advanced,3
109155,109155,STEM,Graduate,5,Intermediate,2
109156,109156,STEM,Junior,3,Beginner,1
109157,109157,Medical,Junior,3,Beginner,1
109158,109158,Business,Freshman,1,Intermediate,2
109159,109159,Business,Graduate,5,Beginner,1
109160,109160,Humanities,Sophomore,2,Beginner,1
109161,109161,Medical,Graduate,5,Advanced,3
109162,109162,Business,Freshman,1,Advanced,3
109163,109163,Arts,Sophomore,2,Advanced,3
109164,109164,Humanities,Junior,3,Intermediate,2
109165,109165,Medical,Senior,4,Intermediate,2
109166,109166,Arts,Junior,3,Beginner,1
109167,109167,Arts,Sophomore,2,Advanced,3
109168,109168,STEM,Junior,3,Beginner,1
109169,109169,STEM,Graduate,5,Advanced,3
109170,109170,STEM,Graduate,5,Advanced,3
109171,109171,STEM,Sophomore,2,Advanced,3
109172,109172,Arts,Senior,4,Intermediate,2
109173,109173,STEM,Senior,4,Intermediate,2
109174,109174,STEM,Senior,4,Beginner,1
109175,109175,STEM,Freshman,1,Intermediate,2
109176,109176,STEM,Junior,3,Beginner,1
109177,109177,STEM,Senior,4,Beginner,1
109178,109178,Arts,Freshman,1,Advanced,3
109179,109179,Business,Sophomore,2,Intermediate,2
109180,109180,STEM,Freshman,1,Intermediate,2
109181,109181,Humanities,Graduate,5,Beginner,1
109182,109182,Humanities,Graduate,5,Intermediate,2
109183,109183,STEM,Freshman,1,Advanced,3
109184,109184,Business,Senior,4,Beginner,1
109185,109185,Business,Sophomore,2,Beginner,1
109186,109186,Business,Senior,4,Advanced,3
109187,109187,Business,Junior,3,Beginner,1
109188,109188,STEM,Junior,3,Advanced,3
109189,109189,Medical,Graduate,5,Beginner,1
109190,109190,Arts,Junior,3,Advanced,3
109191,109191,Medical,Sophomore,2,Beginner,1
109192,109192,STEM,Freshman,1,Beginner,1
109193,109193,Medical,Graduate,5,Intermediate,2
109194,109194,Arts,Freshman,1,Advanced,3
109195,109195,Arts,Senior,4,Beginner,1
109196,109196,STEM,Junior,3,Advanced,3
109197,109197,Business,Freshman,1,Beginner,1
109198,109198,Medical,Senior,4,Intermediate,2
109199,109199,Business,Graduate,5,Beginner,1
109200,109200,Business,Freshman,1,Beginner,1
109201,109201,Medical,Freshman,1,Advanced,3
109202,109202,Humanities,Senior,4,Beginner,1
109203,109203,Business,Junior,3,Intermediate,2
109204,109204,Humanities,Senior,4,Intermediate,2
109205,109205,Medical,Junior,3,Intermediate,2
109206,109206,STEM,Sophomore,2,Advanced,3
109207,109207,Business,Sophomore,2,Advanced,3
109208,109208,Business,Junior,3,Beginner,1
109209,109209,Arts,Freshman,1,Beginner,1
109210,109210,Business,Senior,4,Beginner,1
109211,109211,Medical,Junior,3,Intermediate,2
109212,109212,Medical,Senior,4,Beginner,1
109213,109213,STEM,Graduate,5,Intermediate,2
109214,109214,Humanities,Graduate,5,Intermediate,2
109215,109215,STEM,Junior,3,Beginner,1
109216,109216,Humanities,Sophomore,2,Beginner,1
109217,109217,Business,Sophomore,2,Beginner,1
109218,109218,Medical,Senior,4,Intermediate,2
109219,109219,Arts,Senior,4,Beginner,1
109220,109220,STEM,Freshman,1,Intermediate,2
109221,109221,STEM,Graduate,5,Advanced,3
109222,109222,Business,Freshman,1,Advanced,3
109223,109223,Business,Junior,3,Intermediate,2
109224,109224,STEM,Junior,3,Advanced,3
109225,109225,Medical,Junior,3,Intermediate,2
109226,109226,Medical,Junior,3,Advanced,3
109227,109227,Humanities,Freshman,1,Beginner,1
109228,109228,Medical,Graduate,5,Advanced,3
109229,109229,Humanities,Graduate,5,Advanced,3
109230,109230,Business,Junior,3,Beginner,1
109231,109231,Humanities,Freshman,1,Intermediate,2
109232,109232,STEM,Freshman,1,Beginner,1
109233,109233,Medical,Freshman,1,Intermediate,2
109234,109234,Humanities,Junior,3,Beginner,1
109235,109235,Business,Junior,3,Beginner,1
109236,109236,Humanities,Sophomore,2,Advanced,3
109237,109237,STEM,Junior,3,Intermediate,2
109238,109238,STEM,Graduate,5,Advanced,3
109239,109239,Humanities,Freshman,1,Intermediate,2
109240,109240,Business,Junior,3,Advanced,3
109241,109241,Humanities,Senior,4,Intermediate,2
109242,109242,Business,Graduate,5,Beginner,1
109243,109243,Business,Senior,4,Intermediate,2
109244,109244,Business,Junior,3,Beginner,1
109245,109245,Humanities,Senior,4,Advanced,3
109246,109246,Medical,Graduate,5,Intermediate,2
109247,109247,Humanities,Graduate,5,Intermediate,2
109248,109248,Humanities,Freshman,1,Intermediate,2
109249,109249,STEM,Junior,3,Beginner,1
109250,109250,Humanities,Senior,4,Beginner,1
109251,109251,STEM,Senior,4,Intermediate,2
109252,109252,Business,Sophomore,2,Advanced,3
109253,109253,STEM,Sophomore,2,Intermediate,2
109254,109254,Humanities,Junior,3,Beginner,1
109255,109255,Arts,Sophomore,2,Beginner,1
109256,109256,Humanities,Sophomore,2,Intermediate,2
109257,109257,STEM,Senior,4,Intermediate,2
109258,109258,STEM,Sophomore,2,Intermediate,2
109259,109259,Arts,Senior,4,Beginner,1
109260,109260,STEM,Graduate,5,Intermediate,2
109261,109261,Humanities,Junior,3,Beginner,1
109262,109262,Business,Junior,3,Advanced,3
109263,109263,Business,Freshman,1,Intermediate,2
109264,109264,Business,Senior,4,Beginner,1
109265,109265,Arts,Graduate,5,Intermediate,2
109266,109266,STEM,Senior,4,Beginner,1
109267,109267,STEM,Junior,3,Beginner,1
109268,109268,STEM,Junior,3,Beginner,1
109269,109269,STEM,Sophomore,2,Advanced,3
109270,109270,STEM,Senior,4,Advanced,3
109271,109271,Humanities,Freshman,1,Beginner,1
109272,109272,Business,Graduate,5,Intermediate,2
109273,109273,Business,Sophomore,2,Intermediate,2
109274,109274,Humanities,Sophomore,2,Beginner,1
109275,109275,Business,Freshman,1,Advanced,3
109276,109276,Humanities,Junior,3,Intermediate,2
109277,109277,STEM,Senior,4,Intermediate,2
109278,109278,Business,Sophomore,2,Beginner,1
109279,109279,STEM,Senior,4,Beginner,1
109280,109280,STEM,Junior,3,Beginner,1
109281,109281,Humanities,Sophomore,2,Intermediate,2
109282,109282,Medical,Sophomore,2,Advanced,3
109283,109283,Business,Graduate,5,Advanced,3
109284,109284,STEM,Freshman,1,Beginner,1
109285,109285,Arts,Senior,4,Advanced,3
109286,109286,Business,Sophomore,2,Beginner,1
109287,109287,Business,Senior,4,Intermediate,2
109288,109288,Arts,Junior,3,Intermediate,2
109289,109289,Humanities,Freshman,1,Advanced,3
109290,109290,STEM,Graduate,5,Intermediate,2
109291,109291,Business,Freshman,1,Intermediate,2
109292,109292,Business,Freshman,1,Intermediate,2
109293,109293,Business,Junior,3,Beginner,1
109294,109294,Business,Graduate,5,Beginner,1
109295,109295,Medical,Sophomore,2,Intermediate,2
109296,109296,Medical,Junior,3,Advanced,3
109297,109297,Medical,Junior,3,Beginner,1
109298,109298,Arts,Sophomore,2,Intermediate,2
109299,109299,Medical,Senior,4,Beginner,1
109300,109300,STEM,Junior,3,Advanced,3
109301,109301,STEM,Junior,3,Advanced,3
109302,109302,Humanities,Freshman,1,Intermediate,2
109303,109303,Arts,Graduate,5,Beginner,1
109304,109304,Business,Freshman,1,Beginner,1
109305,109305,Business,Senior,4,Intermediate,2
109306,109306,STEM,Graduate,5,Beginner,1
109307,109307,STEM,Freshman,1,Advanced,3
109308,109308,Business,Freshman,1,Intermediate,2
109309,109309,STEM,Sophomore,2,Advanced,3
109310,109310,Humanities,Senior,4,Advanced,3
109311,109311,STEM,Senior,4,Beginner,1
109312,109312,Humanities,Senior,4,Intermediate,2
109313,109313,Business,Sophomore,2,Beginner,1
109314,109314,Humanities,Graduate,5,Intermediate,2
109315,109315,Business,Sophomore,2,Intermediate,2
109316,109316,STEM,Senior,4,Beginner,1
109317,109317,Arts,Sophomore,2,Advanced,3
109318,109318,Humanities,Freshman,1,Beginner,1
109319,109319,Business,Sophomore,2,Advanced,3
109320,109320,Business,Freshman,1,Intermediate,2
109321,109321,STEM,Freshman,1,Beginner,1
109322,109322,Medical,Sophomore,2,Advanced,3
109323,109323,Business,Freshman,1,Intermediate,2
109324,109324,Humanities,Junior,3,Beginner,1
109325,109325,STEM,Freshman,1,Beginner,1
109326,109326,Medical,Junior,3,Advanced,3
109327,109327,Arts,Graduate,5,Beginner,1
109328,109328,STEM,Sophomore,2,Intermediate,2
109329,109329,Humanities,Freshman,1,Beginner,1
109330,109330,Arts,Sophomore,2,Advanced,3
109331,109331,Business,Senior,4,Advanced,3
109332,109332,Arts,Sophomore,2,Beginner,1
109333,109333,Humanities,Sophomore,2,Beginner,1
109334,109334,Business,Senior,4,Intermediate,2
109335,109335,Humanities,Sophomore,2,Beginner,1
109336,109336,STEM,Junior,3,Intermediate,2
109337,109337,Business,Freshman,1,Intermediate,2
109338,109338,Medical,Freshman,1,Beginner,1
109339,109339,Humanities,Freshman,1,Beginner,1
109340,109340,Humanities,Junior,3,Beginner,1
109341,109341,Business,Senior,4,Beginner,1
109342,109342,Business,Sophomore,2,Intermediate,2
109343,109343,Arts,Sophomore,2,Intermediate,2
109344,109344,Arts,Sophomore,2,Intermediate,2
109345,109345,STEM,Sophomore,2,Intermediate,2
109346,109346,Medical,Sophomore,2,Intermediate,2
109347,109347,Arts,Graduate,5,Beginner,1
109348,109348,Arts,Freshman,1,Intermediate,2
109349,109349,Business,Junior,3,Beginner,1
109350,109350,Arts,Graduate,5,Beginner,1
109351,109351,STEM,Sophomore,2,Intermediate,2
109352,109352,Humanities,Senior,4,Advanced,3
109353,109353,Medical,Junior,3,Intermediate,2
109354,109354,STEM,Sophomore,2,Beginner,1
109355,109355,STEM,Freshman,1,Intermediate,2
109356,109356,Arts,Freshman,1,Intermediate,2
109357,109357,Arts,Freshman,1,Intermediate,2
109358,109358,STEM,Senior,4,Intermediate,2
109359,109359,Arts,Junior,3,Advanced,3
109360,109360,Business,Senior,4,Beginner,1
109361,109361,Business,Sophomore,2,Intermediate,2
109362,109362,Arts,Senior,4,Advanced,3
109363,109363,Humanities,Sophomore,2,Advanced,3
109364,109364,STEM,Freshman,1,Advanced,3
109365,109365,STEM,Junior,3,Beginner,1
109366,109366,Business,Graduate,5,Advanced,3
109367,109367,Business,Sophomore,2,Intermediate,2
109368,109368,Arts,Junior,3,Beginner,1
109369,109369,Arts,Junior,3,Advanced,3
109370,109370,Business,Junior,3,Intermediate,2
109371,109371,Arts,Freshman,1,Intermediate,2
109372,109372,STEM,Junior,3,Advanced,3
109373,109373,STEM,Junior,3,Beginner,1
109374,109374,Medical,Senior,4,Intermediate,2
109375,109375,STEM,Freshman,1,Advanced,3
109376,109376,STEM,Junior,3,Beginner,1
109377,109377,Business,Senior,4,Intermediate,2
109378,109378,Humanities,Sophomore,2,Beginner,1
109379,109379,Medical,Junior,3,Beginner,1
109380,109380,STEM,Senior,4,Beginner,1
109381,109381,STEM,Junior,3,Intermediate,2
109382,109382,Humanities,Sophomore,2,Beginner,1
109383,109383,Business,Senior,4,Advanced,3
109384,109384,Humanities,Graduate,5,Advanced,3
109385,109385,Business,Freshman,1,Beginner,1
109386,109386,Medical,Graduate,5,Advanced,3
109387,109387,Medical,Junior,3,Advanced,3
109388,109388,STEM,Junior,3,Intermediate,2
109389,109389,Humanities,Graduate,5,Intermediate,2
109390,109390,Business,Graduate,5,Advanced,3
109391,109391,Medical,Sophomore,2,Beginner,1
109392,109392,Medical,Sophomore,2,Beginner,1
109393,109393,STEM,Graduate,5,Intermediate,2
109394,109394,Business,Junior,3,Intermediate,2
109395,109395,Humanities,Sophomore,2,Intermediate,2
109396,109396,STEM,Graduate,5,Advanced,3
109397,109397,STEM,Freshman,1,Beginner,1
109398,109398,Humanities,Junior,3,Beginner,1
109399,109399,Humanities,Junior,3,Beginner,1
109400,109400,STEM,Junior,3,Beginner,1
109401,109401,Business,Freshman,1,Beginner,1
109402,109402,STEM,Sophomore,2,Intermediate,2
109403,109403,Business,Freshman,1,Intermediate,2
109404,109404,Humanities,Senior,4,Intermediate,2
109405,109405,STEM,Senior,4,Advanced,3
109406,109406,Humanities,Senior,4,Beginner,1
109407,109407,STEM,Senior,4,Advanced,3
109408,109408,Business,Freshman,1,Intermediate,2
109409,109409,STEM,Graduate,5,Intermediate,2
109410,109410,Business,Freshman,1,Intermediate,2
109411,109411,STEM,Sophomore,2,Advanced,3
109412,109412,Business,Senior,4,Advanced,3
109413,109413,Arts,Freshman,1,Advanced,3
109414,109414,STEM,Freshman,1,Beginner,1
109415,109415,Humanities,Graduate,5,Intermediate,2
109416,109416,STEM,Sophomore,2,Advanced,3
109417,109417,Business,Senior,4,Advanced,3
109418,109418,STEM,Graduate,5,Intermediate,2
109419,109419,Business,Graduate,5,Intermediate,2
109420,109420,Business,Freshman,1,Beginner,1
109421,109421,Medical,Freshman,1,Intermediate,2
109422,109422,Business,Senior,4,Beginner,1
109423,109423,Business,Freshman,1,Beginner,1
109424,109424,Humanities,Junior,3,Intermediate,2
109425,109425,Medical,Junior,3,Beginner,1
109426,109426,Arts,Junior,3,Intermediate,2
109427,109427,STEM,Senior,4,Intermediate,2
109428,109428,Arts,Graduate,5,Beginner,1
109429,109429,Humanities,Sophomore,2,Intermediate,2
109430,109430,Arts,Junior,3,Intermediate,2
109431,109431,Arts,Sophomore,2,Beginner,1
109432,109432,STEM,Sophomore,2,Beginner,1
109433,109433,Business,Freshman,1,Beginner,1
109434,109434,STEM,Junior,3,Intermediate,2
109435,109435,STEM,Graduate,5,Intermediate,2
109436,109436,STEM,Senior,4,Beginner,1
109437,109437,Business,Sophomore,2,Advanced,3
109438,109438,STEM,Senior,4,Beginner,1
109439,109439,STEM,Sophomore,2,Advanced,3
109440,109440,Business,Senior,4,Intermediate,2
109441,109441,STEM,Graduate,5,Beginner,1
109442,109442,STEM,Sophomore,2,Advanced,3
109443,109443,STEM,Freshman,1,Beginner,1
109444,109444,Humanities,Sophomore,2,Beginner,1
109445,109445,Humanities,Freshman,1,Beginner,1
109446,109446,STEM,Junior,3,Beginner,1
109447,109447,Medical,Sophomore,2,Beginner,1
109448,109448,Business,Freshman,1,Advanced,3
109449,109449,Humanities,Junior,3,Beginner,1
109450,109450,Humanities,Graduate,5,Intermediate,2
109451,109451,Humanities,Junior,3,Beginner,1
109452,109452,Business,Sophomore,2,Advanced,3
109453,109453,STEM,Freshman,1,Advanced,3
109454,109454,STEM,Sophomore,2,Advanced,3
109455,109455,Arts,Sophomore,2,Intermediate,2
109456,109456,STEM,Graduate,5,Intermediate,2
109457,109457,Humanities,Freshman,1,Intermediate,2
109458,109458,Medical,Sophomore,2,Intermediate,2
109459,109459,Business,Freshman,1,Advanced,3
109460,109460,Humanities,Graduate,5,Beginner,1
109461,109461,Business,Sophomore,2,Advanced,3
109462,109462,STEM,Senior,4,Advanced,3
109463,109463,Business,Senior,4,Advanced,3
109464,109464,Humanities,Graduate,5,Beginner,1
109465,109465,Arts,Freshman,1,Intermediate,2
109466,109466,Medical,Freshman,1,Beginner,1
109467,109467,Medical,Senior,4,Intermediate,2
109468,109468,Medical,Junior,3,Beginner,1
109469,109469,Business,Senior,4,Intermediate,2
109470,109470,Humanities,Junior,3,Advanced,3
109471,109471,Humanities,Junior,3,Intermediate,2
109472,109472,Business,Graduate,5,Intermediate,2
109473,109473,Medical,Graduate,5,Beginner,1
109474,109474,STEM,Freshman,1,Advanced,3
109475,109475,Medical,Sophomore,2,Beginner,1
109476,109476,Arts,Junior,3,Intermediate,2
109477,109477,Medical,Sophomore,2,Beginner,1
109478,109478,Medical,Freshman,1,Intermediate,2
109479,109479,STEM,Junior,3,Advanced,3
109480,109480,STEM,Graduate,5,Advanced,3
109481,109481,STEM,Freshman,1,Intermediate,2
109482,109482,STEM,Senior,4,Beginner,1
109483,109483,Business,Freshman,1,Intermediate,2
109484,109484,Arts,Junior,3,Intermediate,2
109485,109485,Medical,Sophomore,2,Beginner,1
109486,109486,Business,Sophomore,2,Beginner,1
109487,109487,STEM,Graduate,5,Advanced,3
109488,109488,STEM,Graduate,5,Advanced,3
109489,109489,STEM,Sophomore,2,Beginner,1
109490,109490,Humanities,Senior,4,Beginner,1
109491,109491,Business,Junior,3,Intermediate,2
109492,109492,STEM,Freshman,1,Intermediate,2
109493,109493,Humanities,Freshman,1,Beginner,1
109494,109494,STEM,Senior,4,Intermediate,2
109495,109495,Business,Sophomore,2,Advanced,3
109496,109496,Humanities,Sophomore,2,Beginner,1
109497,109497,Humanities,Graduate,5,Intermediate,2
109498,109498,Humanities,Freshman,1,Beginner,1
109499,109499,Medical,Sophomore,2,Intermediate,2
109500,109500,STEM,Graduate,5,Advanced,3
109501,109501,Business,Sophomore,2,Advanced,3
109502,109502,Business,Junior,3,Intermediate,2
109503,109503,Business,Freshman,1,Advanced,3
109504,109504,Medical,Graduate,5,Advanced,3
109505,109505,Humanities,Freshman,1,Beginner,1
109506,109506,Humanities,Freshman,1,Beginner,1
109507,109507,STEM,Freshman,1,Intermediate,2
109508,109508,Business,Junior,3,Beginner,1
109509,109509,STEM,Senior,4,Advanced,3
109510,109510,STEM,Sophomore,2,Advanced,3
109511,109511,Business,Freshman,1,Intermediate,2
109512,109512,Business,Sophomore,2,Advanced,3
109513,109513,STEM,Graduate,5,Intermediate,2
109514,109514,Business,Freshman,1,Intermediate,2
109515,109515,Business,Junior,3,Intermediate,2
109516,109516,STEM,Senior,4,Intermediate,2
109517,109517,Humanities,Senior,4,Advanced,3
109518,109518,Business,Senior,4,Beginner,1
109519,109519,Business,Freshman,1,Advanced,3
109520,109520,Humanities,Junior,3,Beginner,1
109521,109521,Humanities,Freshman,1,Beginner,1
109522,109522,Business,Junior,3,Advanced,3
109523,109523,Medical,Freshman,1,Intermediate,2
109524,109524,Business,Freshman,1,Advanced,3
109525,109525,STEM,Sophomore,2,Beginner,1
109526,109526,Humanities,Graduate,5,Intermediate,2
109527,109527,Medical,Senior,4,Advanced,3
109528,109528,STEM,Freshman,1,Beginner,1
109529,109529,Medical,Sophomore,2,Beginner,1
109530,109530,Medical,Freshman,1,Intermediate,2
109531,109531,STEM,Sophomore,2,Advanced,3
109532,109532,Medical,Senior,4,Beginner,1
109533,109533,Humanities,Senior,4,Beginner,1
109534,109534,Arts,Senior,4,Intermediate,2
109535,109535,Humanities,Graduate,5,Advanced,3
109536,109536,Humanities,Sophomore,2,Intermediate,2
109537,109537,Business,Graduate,5,Intermediate,2
109538,109538,Arts,Senior,4,Intermediate,2
109539,109539,STEM,Junior,3,Advanced,3
109540,109540,Business,Graduate,5,Beginner,1
109541,109541,STEM,Graduate,5,Beginner,1
109542,109542,Humanities,Graduate,5,Advanced,3
109543,109543,Humanities,Freshman,1,Beginner,1
109544,109544,Humanities,Freshman,1,Intermediate,2
109545,109545,Humanities,Graduate,5,Advanced,3
109546,109546,STEM,Sophomore,2,Beginner,1
109547,109547,STEM,Senior,4,Advanced,3
109548,109548,STEM,Senior,4,Intermediate,2
109549,109549,Humanities,Senior,4,Beginner,1
109550,109550,Medical,Freshman,1,Intermediate,2
109551,109551,STEM,Junior,3,Beginner,1
109552,109552,Medical,Graduate,5,Beginner,1
109553,109553,Business,Junior,3,Intermediate,2
109554,109554,Business,Senior,4,Intermediate,2
109555,109555,Business,Senior,4,Advanced,3
109556,109556,Arts,Freshman,1,Beginner,1
109557,109557,STEM,Freshman,1,Intermediate,2
109558,109558,Business,Senior,4,Advanced,3
109559,109559,Business,Freshman,1,Advanced,3
109560,109560,Business,Sophomore,2,Advanced,3
109561,109561,Arts,Graduate,5,Intermediate,2
109562,109562,STEM,Junior,3,Beginner,1
109563,109563,Business,Graduate,5,Advanced,3
109564,109564,Business,Sophomore,2,Intermediate,2
109565,109565,Humanities,Junior,3,Advanced,3
109566,109566,Humanities,Sophomore,2,Beginner,1
109567,109567,Business,Freshman,1,Advanced,3
109568,109568,Medical,Graduate,5,Beginner,1
109569,109569,Humanities,Freshman,1,Beginner,1
109570,109570,Arts,Freshman,1,Beginner,1
109571,109571,Humanities,Senior,4,Intermediate,2
109572,109572,STEM,Senior,4,Advanced,3
109573,109573,STEM,Graduate,5,Advanced,3
109574,109574,STEM,Freshman,1,Advanced,3
109575,109575,Humanities,Freshman,1,Advanced,3
109576,109576,Humanities,Junior,3,Beginner,1
109577,109577,Business,Junior,3,Advanced,3
109578,109578,Business,Freshman,1,Intermediate,2
109579,109579,STEM,Freshman,1,Intermediate,2
109580,109580,STEM,Senior,4,Advanced,3
109581,109581,STEM,Senior,4,Advanced,3
109582,109582,Business,Freshman,1,Beginner,1
109583,109583,STEM,Graduate,5,Intermediate,2
109584,109584,STEM,Sophomore,2,Beginner,1
109585,109585,Medical,Graduate,5,Intermediate,2
109586,109586,Arts,Graduate,5,Advanced,3
109587,109587,STEM,Junior,3,Intermediate,2
109588,109588,Humanities,Sophomore,2,Advanced,3
109589,109589,Humanities,Sophomore,2,Beginner,1
109590,109590,Arts,Senior,4,Advanced,3
109591,109591,Business,Freshman,1,Advanced,3
109592,109592,STEM,Junior,3,Beginner,1
109593,109593,Business,Junior,3,Intermediate,2
109594,109594,Humanities,Sophomore,2,Beginner,1
109595,109595,STEM,Graduate,5,Advanced,3
109596,109596,Humanities,Senior,4,Advanced,3
